english,hebrew
sense,לָחוּשׁ
teacher,מוֹרֶה
home,בית
market,שׁוּק
stay,שָׁהוּת
build,לִבנוֹת
nation,אוּמָה
fall,נפילה
oh,אה
death,מוות
plan,לְתַכְנֵן
interest,ריבית
someone,מִישֶׁהוּ
experience,ניסיון
cut,גזירה
kill,לַהֲרוֹג
behind,מֵאָחוֹר
reach,לְהַגִיעַ
six,שֵׁשׁ
local,מְקוֹמִי
remain,לְהִשָׁאֵר
effect,השפעה
suggest,לְהַצִיעַ
use,להשתמש
control,לִשְׁלוֹט
perhaps,אוּלַי
raise,הַעֲלָאָה
class,מעמד
late,מאוחר
little,קטן
major,גדול
yeah,כֵּן
else,אַחֵר
pass,לַעֲבוֹר
photo,תמונה
sell,מכירה
themselves,עצמם
field,שדה
college,מִכלָלָה
sometimes,לִפְעָמִים
former,לְשֶׁעָבַר
development,התפתחות
require,לִדרוֹשׁ
along,לְאוֹרֶך
decide,לְהַחלִיט
security,בִּטָחוֹן
up,לְמַעלָה
possible,אפשרי
effort,מַאֲמָץ
role,תַפְקִיד
better,טוב יותר
rate,ציון
strong,חָזָק
music,מוּסִיקָה
report,להגיש תלונה
leader,מַנהִיג
light,אוֹר
whole,כֹּל
voice,קוֹל
color,צֶבַע
heart,לֵב
care,לְטַפֵּל
police,מִשׁטָרָה
economic,כַּלְכָּלִי
wife,אשה
show,הופעה
mind,אכפת
report,להגיש תלונה
finally,סוף כל סוף
drug,תְרוּפָה
less,פָּחוּת
return,לַחֲזוֹר
according,לפי
pull,מְשׁוֹך
decision,הַחְלָטָה
explain,להסביר
carry,לשאת
develop,לְפַתֵחַ
view,נוף
free,חינם
hope,לְקַווֹת
even,אֲפִילוּ
drive,נהיגה
son,בֵּן
arm,זְרוֹעַ
department,מַחלָקָה
TRUE,נָכוֹן
price,מחיר
military,צבאי
federal,פדרלי
